index,Indoor w/ window view,Indoor w/ window view,Indoor w/ window view,Indoor w/ window view,Indoor w/ window view,Indoor w/ window view,Indoor w/o window view,Indoor w/o window view,Indoor w/o window view,Indoor w/o window view,Indoor w/o window view,Indoor w/o window view,Outdoor view,Outdoor view,Outdoor view,Outdoor view,Outdoor view,Outdoor view
,mean,std,median,min,max,IQR,mean,std,median,min,max,IQR,mean,std,median,min,max,IQR
Illuminance [lx] (CIE1931 2°),2707.8665,387.0183,13264.2588,9298.2061,366.9288,21277.8593,723.9,259.5,5783.0,13.9,13.8,0.2,63721.1,1959.1,110872.8,964.0,367.0,9988.775
Correlated Color Temp. (CCT) [K],5344.2887,4233.3739,6455.5193,1371.3438,701.6676,1749.47,4942.0,4034.0,6007.5,2919.0,3377.0,0.0,11520.0,5996.0,17246.0,1806.25,1335.5,1273.0
Esc [W/sqm],1.7304,0.1887,9.3901,5.6402,0.2247,13.9756,0.4,0.1,4.6,0.0,0.0,0.0,38.7,1.0,72.7,0.7,0.1,7.4
Emc [W/sqm],3.8253,0.5209,18.7552,13.0502,0.5112,29.7449,1.0,0.3,8.45,0.0,0.0,0.0,89.4,2.6,155.1,1.4,0.5,14.05
Elc [W/sqm],4.3928,0.6296,21.6271,15.0899,0.5946,34.7012,1.2,0.4,9.4,0.0,0.0,0.0,103.4,3.2,180.8,1.575,0.6,16.25
Erh [W/sqm],3.5562,0.4322,17.8881,12.0685,0.4725,27.8628,0.9,0.2,8.35,0.0,0.0,0.0,82.7,2.2,145.2,1.2,0.4,13.475
Emel [W/sqm],3.1629,0.373,16.1088,10.6784,0.4189,24.8955,0.8,0.2,7.7,0.0,0.0,0.0,73.2,1.9,129.8,1.2,0.3,12.325
"X v,mel,D65 (MEDI) [lx]",2385.9943,279.5235,12142.445,8050.7316,312.6359,18765.4521,574.75,143.6,5782.9,17.5,11.2,0.2,55178.3,1416.3,97807.5,862.45,250.5,9246.525
